epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6248,2.00555,3.10561,1.61305,0.68074,0.48459,0.53717,0.24211,1.96664,2.22387,1.62564,0.000657658,0.000657658,0.000657658
2,37.313,1.9198,1.80982,1.52669,0.14147,0.41058,0.0955,0.03618,2.21345,4.29551,1.98522,0.00131121,0.00131121,0.00131121
3,49.8484,1.94255,1.90965,1.52641,0.55409,0.43241,0.4449,0.19563,2.02559,2.01785,1.69184,0.00195157,0.00195157,0.00195157
4,62.3091,1.8994,1.65519,1.51153,0.71342,0.55961,0.59591,0.27634,1.97281,1.60781,1.72662,0.0019406,0.0019406,0.0019406
5,74.9498,1.86397,1.53655,1.48832,0.65534,0.55142,0.55681,0.25033,2.01152,1.8314,1.66832,0.0019208,0.0019208,0.0019208
6,87.5222,1.93294,1.78897,1.49085,0.60382,0.57011,0.53233,0.24915,1.9371,1.95601,1.63566,0.001901,0.001901,0.001901
7,100.117,1.90672,1.64411,1.55314,0.55427,0.62817,0.58272,0.25508,2.00989,1.60666,1.72195,0.0018812,0.0018812,0.0018812
8,112.647,1.90321,1.48386,1.4937,0.65817,0.58048,0.60958,0.2678,2.05816,1.55654,1.73097,0.0018614,0.0018614,0.0018614
9,125.234,1.90743,1.50672,1.47982,0.72172,0.63773,0.66851,0.31444,1.89641,1.46303,1.58843,0.0018416,0.0018416,0.0018416
10,137.924,1.84472,1.37462,1.44875,0.71235,0.6386,0.6764,0.3187,1.90627,1.49564,1.61434,0.0018218,0.0018218,0.0018218
11,150.585,1.80474,1.67438,1.45688,0.70483,0.61624,0.65316,0.30874,1.91809,1.84004,1.61859,0.001802,0.001802,0.001802
12,163.097,1.8046,1.36933,1.41478,0.74851,0.60545,0.66063,0.29683,1.94269,1.43119,1.63837,0.0017822,0.0017822,0.0017822
13,175.668,1.81225,1.40293,1.45281,0.74966,0.5842,0.63756,0.30512,1.88836,1.49537,1.6055,0.0017624,0.0017624,0.0017624
14,188.245,1.82918,1.33602,1.45144,0.72884,0.60087,0.65535,0.30799,1.8826,1.51711,1.58985,0.0017426,0.0017426,0.0017426
15,200.687,1.80649,1.42683,1.42606,0.74851,0.60547,0.6621,0.30753,1.90693,1.40244,1.62596,0.0017228,0.0017228,0.0017228
16,213.365,1.79443,1.4138,1.44904,0.73302,0.63413,0.67887,0.32073,1.87624,1.41866,1.57935,0.001703,0.001703,0.001703
17,226.031,1.79805,1.30409,1.42151,0.73906,0.6468,0.68955,0.3402,1.84771,1.3339,1.59475,0.0016832,0.0016832,0.0016832
18,238.601,1.80893,1.48149,1.43333,0.71941,0.67362,0.70635,0.33146,1.91123,1.32592,1.58838,0.0016634,0.0016634,0.0016634
19,251.448,1.82264,1.2858,1.45629,0.70775,0.62668,0.66634,0.31111,1.9344,1.33964,1.59631,0.0016436,0.0016436,0.0016436
20,264.057,1.80867,1.32122,1.4555,0.69716,0.65702,0.65695,0.30366,1.89469,1.6224,1.589,0.0016238,0.0016238,0.0016238
21,276.598,1.77554,1.30424,1.4147,0.73708,0.64009,0.69347,0.33688,1.83199,1.32664,1.53384,0.001604,0.001604,0.001604
22,289.183,1.7513,1.22913,1.41351,0.72357,0.68657,0.70834,0.33699,1.90601,1.28291,1.60373,0.0015842,0.0015842,0.0015842
23,301.712,1.79463,1.37355,1.41425,0.7556,0.63122,0.69681,0.3278,1.88818,1.38167,1.57331,0.0015644,0.0015644,0.0015644
24,314.339,1.77936,1.30777,1.39317,0.74185,0.68096,0.72237,0.35852,1.82496,1.28166,1.54559,0.0015446,0.0015446,0.0015446
25,326.913,1.75938,1.17869,1.3969,0.73035,0.68017,0.71299,0.34392,1.85465,1.29801,1.5655,0.0015248,0.0015248,0.0015248
26,339.332,1.75187,1.16634,1.38516,0.70499,0.69821,0.70054,0.33539,1.86778,1.26298,1.5679,0.001505,0.001505,0.001505
27,351.963,1.71822,1.14507,1.41271,0.72984,0.67586,0.70968,0.34041,1.8725,1.21502,1.57816,0.0014852,0.0014852,0.0014852
28,364.617,1.74396,1.1699,1.40185,0.78914,0.66095,0.73419,0.35463,1.84005,1.19466,1.56774,0.0014654,0.0014654,0.0014654
29,377.239,1.71005,1.11667,1.36885,0.73846,0.70492,0.72747,0.35459,1.84018,1.25043,1.55155,0.0014456,0.0014456,0.0014456
30,389.717,1.7313,1.15936,1.39146,0.74884,0.69225,0.71978,0.34058,1.90193,1.23522,1.58438,0.0014258,0.0014258,0.0014258
31,402.208,1.75611,1.24479,1.37971,0.74652,0.68688,0.71381,0.35073,1.85842,1.24069,1.56061,0.001406,0.001406,0.001406
32,414.863,1.75183,1.18969,1.36086,0.7252,0.69418,0.72528,0.3517,1.86665,1.2535,1.55966,0.0013862,0.0013862,0.0013862
33,427.404,1.69587,1.17383,1.34763,0.75022,0.68708,0.72963,0.36094,1.79856,1.21651,1.50763,0.0013664,0.0013664,0.0013664
34,440.111,1.69028,1.2037,1.37452,0.73634,0.69747,0.71882,0.34415,1.8735,1.1942,1.55786,0.0013466,0.0013466,0.0013466
35,452.78,1.74906,1.12263,1.36027,0.72545,0.634,0.64514,0.29003,1.98398,1.31476,1.63582,0.0013268,0.0013268,0.0013268
36,465.392,1.67769,1.07115,1.35989,0.73737,0.68405,0.72067,0.33887,1.90435,1.19954,1.61431,0.001307,0.001307,0.001307
37,477.905,1.72177,1.05846,1.35872,0.75399,0.70268,0.72586,0.34899,1.84194,1.22266,1.56202,0.0012872,0.0012872,0.0012872
38,490.433,1.70272,1.07923,1.37093,0.7286,0.73816,0.74267,0.35948,1.80892,1.20407,1.54876,0.0012674,0.0012674,0.0012674
39,503.031,1.68065,1.01968,1.34235,0.74168,0.68703,0.71619,0.34346,1.88903,1.2423,1.58,0.0012476,0.0012476,0.0012476
40,515.613,1.68008,1.11284,1.33329,0.75924,0.71535,0.73793,0.35907,1.81644,1.16187,1.5574,0.0012278,0.0012278,0.0012278
41,528.284,1.68571,1.0527,1.34614,0.7052,0.74153,0.71842,0.3366,1.89166,1.21609,1.57844,0.001208,0.001208,0.001208
42,540.94,1.69054,1.04317,1.34548,0.76291,0.7079,0.73861,0.35088,1.86154,1.25285,1.5626,0.0011882,0.0011882,0.0011882
43,553.513,1.6638,1.08474,1.33668,0.73964,0.71833,0.7345,0.35306,1.84797,1.20543,1.57144,0.0011684,0.0011684,0.0011684
44,566.061,1.63202,0.99123,1.3049,0.77187,0.70268,0.73326,0.34414,1.89759,1.1767,1.61204,0.0011486,0.0011486,0.0011486
45,578.649,1.63229,1.05305,1.32746,0.75228,0.69747,0.72157,0.34311,1.87437,1.19537,1.59694,0.0011288,0.0011288,0.0011288
46,591.293,1.64401,1.01094,1.33598,0.73225,0.73249,0.73104,0.35527,1.85988,1.18584,1.57149,0.001109,0.001109,0.001109
47,603.98,1.66359,1.0532,1.3702,0.74323,0.72131,0.74558,0.36056,1.85608,1.11951,1.57931,0.0010892,0.0010892,0.0010892
48,616.496,1.65079,1.00044,1.34168,0.79257,0.67809,0.74257,0.3668,1.82911,1.17776,1.55877,0.0010694,0.0010694,0.0010694
49,629.131,1.64604,0.9959,1.34209,0.74065,0.73472,0.74242,0.36719,1.8222,1.14883,1.54582,0.0010496,0.0010496,0.0010496
50,641.844,1.60145,0.98726,1.31929,0.77316,0.71622,0.75257,0.36624,1.84993,1.13413,1.54079,0.0010298,0.0010298,0.0010298
51,654.411,1.65474,1.06766,1.34741,0.77356,0.71088,0.74096,0.35179,1.87825,1.13317,1.58654,0.00101,0.00101,0.00101
52,666.976,1.61371,0.98656,1.31805,0.75315,0.74441,0.74949,0.36918,1.83445,1.14374,1.55514,0.0009902,0.0009902,0.0009902
53,679.682,1.61154,0.95372,1.30412,0.76108,0.70194,0.74509,0.35831,1.89402,1.13488,1.6012,0.0009704,0.0009704,0.0009704
54,692.35,1.5925,0.95476,1.28744,0.74056,0.72578,0.74115,0.36264,1.859,1.09386,1.56589,0.0009506,0.0009506,0.0009506
55,704.903,1.6038,0.91957,1.30619,0.76463,0.70864,0.74588,0.36083,1.8889,1.14758,1.57746,0.0009308,0.0009308,0.0009308
56,717.43,1.60686,0.94101,1.30575,0.76501,0.72504,0.74204,0.3619,1.87203,1.14495,1.58207,0.000911,0.000911,0.000911
57,730.028,1.62955,0.91963,1.29618,0.7616,0.70225,0.72859,0.35519,1.87652,1.15976,1.58825,0.0008912,0.0008912,0.0008912
58,742.563,1.59245,0.95292,1.30012,0.74877,0.70864,0.73443,0.35696,1.86492,1.15391,1.59055,0.0008714,0.0008714,0.0008714
59,755.212,1.59338,0.90174,1.29743,0.75841,0.70417,0.7339,0.36393,1.84555,1.12612,1.55953,0.0008516,0.0008516,0.0008516
60,767.83,1.57727,0.93887,1.28537,0.75568,0.73249,0.73932,0.35808,1.8659,1.09026,1.58014,0.0008318,0.0008318,0.0008318
61,780.405,1.54693,1.04395,1.25338,0.7436,0.71237,0.72711,0.35219,1.88438,1.13794,1.58956,0.000812,0.000812,0.000812
62,793.037,1.53947,0.88962,1.2653,0.74887,0.73106,0.72738,0.35953,1.84633,1.1115,1.54968,0.0007922,0.0007922,0.0007922
63,805.649,1.57634,0.91554,1.30182,0.73506,0.71946,0.72967,0.36448,1.82209,1.14378,1.56963,0.0007724,0.0007724,0.0007724
64,818.292,1.54988,0.89301,1.26608,0.76262,0.73398,0.7491,0.37312,1.81775,1.09854,1.53733,0.0007526,0.0007526,0.0007526
65,830.996,1.51584,0.85878,1.24304,0.73903,0.73845,0.73377,0.35972,1.8717,1.11871,1.56863,0.0007328,0.0007328,0.0007328
66,843.546,1.55261,0.85699,1.29007,0.78012,0.72653,0.74625,0.35843,1.88281,1.12231,1.594,0.000713,0.000713,0.000713
67,856.177,1.5495,0.93694,1.27352,0.76553,0.7161,0.73946,0.36834,1.86613,1.08486,1.57142,0.0006932,0.0006932,0.0006932
68,868.735,1.54067,0.82809,1.27298,0.76803,0.72504,0.74511,0.37035,1.84306,1.10379,1.5441,0.0006734,0.0006734,0.0006734
69,881.282,1.48264,0.86124,1.22817,0.74818,0.73621,0.74818,0.37041,1.83513,1.09898,1.53703,0.0006536,0.0006536,0.0006536
70,893.852,1.53514,0.84283,1.27636,0.76583,0.731,0.75222,0.36284,1.86498,1.09529,1.57774,0.0006338,0.0006338,0.0006338
71,906.421,1.52162,0.82165,1.28682,0.7345,0.74665,0.73443,0.36418,1.85365,1.11415,1.56473,0.000614,0.000614,0.000614
72,918.93,1.52079,0.86744,1.26728,0.75992,0.72727,0.74349,0.359,1.87233,1.12175,1.60051,0.0005942,0.0005942,0.0005942
73,931.472,1.4944,0.85835,1.23678,0.77931,0.71311,0.73976,0.36018,1.84465,1.1022,1.56849,0.0005744,0.0005744,0.0005744
74,943.898,1.4758,0.80178,1.24122,0.75224,0.74441,0.73834,0.35595,1.88925,1.11488,1.59123,0.0005546,0.0005546,0.0005546
75,956.472,1.49115,0.80159,1.25028,0.75459,0.74665,0.74435,0.36223,1.87335,1.09313,1.5916,0.0005348,0.0005348,0.0005348
76,969.212,1.46468,0.80745,1.23414,0.74098,0.74218,0.73088,0.36034,1.84405,1.10592,1.55888,0.000515,0.000515,0.000515
77,981.644,1.45767,0.79725,1.24888,0.77682,0.73547,0.74935,0.36506,1.85396,1.07704,1.58006,0.0004952,0.0004952,0.0004952
78,994.161,1.47375,0.96465,1.21152,0.77491,0.74908,0.76189,0.37296,1.85606,1.0531,1.56841,0.0004754,0.0004754,0.0004754
79,1006.69,1.43094,0.78624,1.20335,0.73868,0.75484,0.74612,0.37044,1.82589,1.0972,1.54961,0.0004556,0.0004556,0.0004556
80,1019.51,1.4707,0.79996,1.22139,0.76265,0.71759,0.73533,0.36323,1.83979,1.12601,1.56844,0.0004358,0.0004358,0.0004358
81,1032.12,1.45882,0.78133,1.23996,0.7708,0.74176,0.73926,0.3678,1.83962,1.08121,1.55574,0.000416,0.000416,0.000416
82,1044.73,1.45163,0.75659,1.20922,0.77066,0.71113,0.73813,0.36225,1.86084,1.10932,1.57874,0.0003962,0.0003962,0.0003962
83,1057.37,1.46836,1.04943,1.24729,0.74941,0.72578,0.74043,0.36746,1.83028,1.09891,1.56064,0.0003764,0.0003764,0.0003764
84,1070.13,1.40677,0.74795,1.2053,0.76235,0.70275,0.73169,0.36228,1.8469,1.15335,1.56757,0.0003566,0.0003566,0.0003566
85,1082.57,1.44217,0.74843,1.21914,0.76194,0.73216,0.73818,0.36613,1.85293,1.06139,1.57798,0.0003368,0.0003368,0.0003368
86,1095.17,1.40686,0.73851,1.19814,0.74492,0.75037,0.74992,0.37069,1.86037,1.07561,1.58076,0.000317,0.000317,0.000317
87,1107.87,1.44345,0.73481,1.21296,0.77273,0.72951,0.74562,0.36599,1.85451,1.09079,1.57495,0.0002972,0.0002972,0.0002972
88,1120.42,1.42472,0.78886,1.21924,0.75401,0.74461,0.7383,0.36116,1.86434,1.08045,1.579,0.0002774,0.0002774,0.0002774
89,1132.92,1.4185,0.74424,1.19256,0.76216,0.73308,0.73818,0.35636,1.87768,1.11018,1.58026,0.0002576,0.0002576,0.0002576
90,1145.48,1.40306,0.72687,1.20663,0.75015,0.73994,0.73788,0.36038,1.8638,1.13425,1.57773,0.0002378,0.0002378,0.0002378
91,1159.25,1.43434,0.75406,1.23423,0.7681,0.73472,0.75033,0.3638,1.87453,1.09032,1.58782,0.000218,0.000218,0.000218
92,1171.57,1.39808,0.71495,1.21855,0.76678,0.7301,0.75003,0.36263,1.87798,1.09763,1.59245,0.0001982,0.0001982,0.0001982
93,1183.68,1.34651,0.73511,1.20107,0.74985,0.73025,0.74142,0.36242,1.87234,1.1125,1.58008,0.0001784,0.0001784,0.0001784
