epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8188,1.89639,4.38122,0.00734,0.39959,0.33681,0.29181,0.11864,1.99438,3.02222,0.01243,0.000663248,0.000663248,0.000663248
2,72.1436,2.02707,3.15493,0.00721,0.12125,0.32191,0.0714,0.02406,2.19382,3.6018,0.01351,0.00131675,0.00131675,0.00131675
3,102.848,2.10987,3.19036,0.00811,0.40643,0.31669,0.29249,0.08944,2.24108,3.53915,0.0139,0.00195705,0.00195705,0.00195705
4,133.41,2.14945,2.98673,0.00852,0.52137,0.40342,0.41981,0.15913,2.13422,2.52288,0.01312,0.0019406,0.0019406,0.0019406
5,165.388,2.16147,2.83308,0.00875,0.45909,0.25741,0.28425,0.10686,2.12386,3.02184,0.01321,0.0019208,0.0019208,0.0019208
6,195.99,2.2223,2.56586,0.00868,0.53172,0.49702,0.43833,0.19395,2.02895,2.62884,0.01285,0.001901,0.001901,0.001901
7,227.812,2.20082,2.37625,0.00837,0.60674,0.48882,0.51316,0.20244,2.14021,2.32252,0.01384,0.0018812,0.0018812,0.0018812
8,259.783,2.11829,2.24985,0.00851,0.6573,0.52981,0.57312,0.24249,2.08322,2.06608,0.01329,0.0018614,0.0018614,0.0018614
9,291.977,2.09409,2.17306,0.00827,0.63818,0.39717,0.43873,0.18409,2.28923,2.43249,0.01489,0.0018416,0.0018416,0.0018416
10,322.542,2.1182,1.98444,0.00778,0.60058,0.5611,0.56036,0.25062,1.99866,2.12487,0.01284,0.0018218,0.0018218,0.0018218
11,354.424,2.06779,2.06303,0.00846,0.65138,0.54993,0.57835,0.2501,2.06991,2.02896,0.01355,0.001802,0.001802,0.001802
12,385.003,2.08159,2.12297,0.00794,0.6132,0.5082,0.50778,0.22602,2.02673,2.03606,0.01238,0.0017822,0.0017822,0.0017822
13,415.67,2.01777,2.00351,0.008,0.69113,0.57359,0.61606,0.28506,1.93321,1.98024,0.01234,0.0017624,0.0017624,0.0017624
14,447.655,2.02811,1.90917,0.00784,0.72741,0.55663,0.62732,0.27944,2.07274,1.8415,0.01384,0.0017426,0.0017426,0.0017426
15,478.19,2.01783,2.1159,0.00776,0.70103,0.54545,0.61166,0.28791,1.9475,1.95921,0.01242,0.0017228,0.0017228,0.0017228
16,510.169,1.97558,1.88103,0.00763,0.6891,0.60954,0.61542,0.28898,1.99776,1.79896,0.01336,0.001703,0.001703,0.001703
17,542.129,1.98137,2.02336,0.00776,0.71027,0.60134,0.62546,0.28923,2.02038,1.7896,0.01282,0.0016832,0.0016832,0.0016832
18,574.101,1.97221,1.9027,0.00773,0.6474,0.55812,0.56009,0.24135,2.15091,1.9183,0.01377,0.0016634,0.0016634,0.0016634
19,604.721,1.98611,1.90387,0.00787,0.71789,0.59389,0.62347,0.2584,2.11985,1.79083,0.01309,0.0016436,0.0016436,0.0016436
20,635.371,2.04652,1.79218,0.0082,0.72856,0.516,0.58749,0.26723,2.0544,2.14383,0.01283,0.0016238,0.0016238,0.0016238
21,665.971,2.01911,1.90683,0.00787,0.74654,0.58819,0.64027,0.3006,1.92928,1.77162,0.0127,0.001604,0.001604,0.001604
22,697.977,1.90431,1.64408,0.00759,0.66976,0.64681,0.63464,0.2878,2.00949,1.85867,0.01263,0.0015842,0.0015842,0.0015842
23,728.593,1.99297,1.57617,0.00791,0.71636,0.62146,0.6576,0.28522,2.05255,1.62891,0.01249,0.0015644,0.0015644,0.0015644
24,759.429,1.96465,1.57737,0.00763,0.71845,0.59836,0.65694,0.31191,1.92848,1.64055,0.01217,0.0015446,0.0015446,0.0015446
25,791.39,1.99649,1.6167,0.00761,0.67247,0.65329,0.64672,0.30107,1.99141,1.89109,0.01354,0.0015248,0.0015248,0.0015248
26,821.969,2.01722,1.54121,0.00724,0.711,0.63189,0.66265,0.30828,2.00547,1.76008,0.0129,0.001505,0.001505,0.001505
27,852.613,1.97872,1.62552,0.00774,0.72543,0.6617,0.68959,0.3261,1.92509,1.49229,0.01205,0.0014852,0.0014852,0.0014852
28,884.509,1.90374,1.62675,0.00774,0.74865,0.65052,0.68962,0.32083,1.94502,1.86133,0.01223,0.0014654,0.0014654,0.0014654
29,915.053,1.87603,1.62278,0.00741,0.67962,0.64382,0.66074,0.31459,1.97003,1.73279,0.01283,0.0014456,0.0014456,0.0014456
30,945.63,1.89127,1.70677,0.007,0.72315,0.65009,0.67391,0.32107,1.93448,1.56257,0.01184,0.0014258,0.0014258,0.0014258
31,976.219,1.93108,1.64227,0.00799,0.71761,0.62868,0.66567,0.31785,1.95222,1.63241,0.01236,0.001406,0.001406,0.001406
32,1006.83,1.90105,1.58967,0.00714,0.76117,0.65052,0.70339,0.33176,1.93529,1.58837,0.01196,0.0013862,0.0013862,0.0013862
33,1038.8,1.86989,1.44457,0.00757,0.7188,0.65903,0.68093,0.32564,1.92782,1.5178,0.01152,0.0013664,0.0013664,0.0013664
34,1069.48,1.91126,1.56078,0.00814,0.74099,0.63952,0.68047,0.32157,1.96572,1.5535,0.01243,0.0013466,0.0013466,0.0013466
35,1100.14,1.91709,1.58127,0.00703,0.74288,0.66957,0.70223,0.33557,1.93558,1.54013,0.01239,0.0013268,0.0013268,0.0013268
36,1132.07,1.86422,1.46962,0.0071,0.73001,0.68099,0.70811,0.33873,1.92587,1.6382,0.01195,0.001307,0.001307,0.001307
37,1164.21,1.90427,1.45175,0.00766,0.71579,0.65797,0.68331,0.32029,1.96428,1.56441,0.01246,0.0012872,0.0012872,0.0012872
38,1194.71,1.88679,1.48584,0.00666,0.75147,0.61959,0.68886,0.32387,2.03647,1.52048,0.01319,0.0012674,0.0012674,0.0012674
39,1225.2,1.8909,1.44959,0.00724,0.75434,0.64456,0.70899,0.33148,1.912,1.62526,0.01154,0.0012476,0.0012476,0.0012476
40,1255.74,1.95431,1.49945,0.00746,0.76616,0.647,0.70738,0.33481,1.91546,1.55904,0.01165,0.0012278,0.0012278,0.0012278
41,1286.37,1.90343,1.55669,0.00705,0.69129,0.65946,0.66865,0.30997,1.97484,1.9419,0.01192,0.001208,0.001208,0.001208
42,1317.06,1.88744,1.36047,0.00668,0.74961,0.65723,0.70887,0.34142,1.89403,1.49482,0.01157,0.0011882,0.0011882,0.0011882
43,1348.92,1.81323,1.29772,0.00746,0.74704,0.64307,0.69263,0.3228,1.96735,1.60807,0.012,0.0011684,0.0011684,0.0011684
44,1379.58,1.89666,1.51859,0.00716,0.74892,0.66011,0.69839,0.33031,1.90923,1.57308,0.01153,0.0011486,0.0011486,0.0011486
45,1410.24,1.8143,1.43343,0.00692,0.75453,0.67569,0.71501,0.34786,1.90891,1.59271,0.01165,0.0011288,0.0011288,0.0011288
46,1442.1,1.86268,1.39147,0.00672,0.73617,0.66743,0.70703,0.33489,1.94754,1.58078,0.01211,0.001109,0.001109,0.001109
47,1472.71,1.83576,1.46563,0.00719,0.75748,0.66468,0.7075,0.34005,1.8915,1.55417,0.01145,0.0010892,0.0010892,0.0010892
48,1503.36,1.8693,1.50957,0.00709,0.73954,0.68629,0.71558,0.33966,1.93783,1.58735,0.01228,0.0010694,0.0010694,0.0010694
49,1533.91,1.85055,1.43291,0.00693,0.75955,0.68182,0.72952,0.34478,1.93094,1.49926,0.01238,0.0010496,0.0010496,0.0010496
50,1564.51,1.8482,1.38779,0.00709,0.74544,0.65425,0.70995,0.32394,1.97504,1.53086,0.01233,0.0010298,0.0010298,0.0010298
51,1595.06,1.82346,1.24847,0.00679,0.74093,0.70327,0.72252,0.34058,1.91145,1.52124,0.01226,0.00101,0.00101,0.00101
52,1625.91,1.84052,1.30374,0.00664,0.68836,0.66692,0.65943,0.30926,1.92514,1.53222,0.01206,0.0009902,0.0009902,0.0009902
