image,candidate_image,matched,score,keyword,matched_text,text_count
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00002_1d59f9162b2f.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00002_1d59f9162b2f.webp,True,73.04,softcare,Soltcare,21
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00002_78e277790497.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00002_78e277790497.webp,True,78.31,softcare,Saftcare,11
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00003_b58cacefd649.webp,,False,52.76,softcare,OFT&SMOO,10
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00004_9af483ed86ef.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00004_9af483ed86ef.webp,True,73.81,softcare,eesoft,62
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00005_118e88c6282f.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00005_118e88c6282f.webp,True,66.09,softcare,Soap,43
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00006_0e6cd3490cea.webp,,False,46.99,softcare,BATHBAR,7
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00006_5c925b7eed28.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00006_5c925b7eed28.webp,True,96.09,softcare,SOFT,20
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00007_20942054fd6a.webp,,False,35.06,softcare,GOD IS LOVE (GILE),6
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00007_99af0ec01033.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00007_99af0ec01033.webp,True,71.43,softcare,SOFT&SA,7
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00008_5d335be2a9b5.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00008_5d335be2a9b5.webp,True,76.34,softcare,Soltcare,15
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00008_8951ed271377.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00008_8951ed271377.webp,True,81.56,softcare,Softcare,19
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00009_115ef4114ac7.webp,,False,37.35,softcare,KOK,7
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00010_5a94c16fadc0.webp,,False,58.38,softcare,Meesoft,15
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00011_1711e737924b.webp,,False,49.05,softcare,ha,19
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00012_e0a99530b7ba.webp,,False,55.71,softcare,FATAW ENTERPRISE,6
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00013_6ac065a94755.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00013_6ac065a94755.webp,True,65.79,softcare,Kleesoft,21
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00014_7cb985b70e20.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00014_7cb985b70e20.webp,True,78.53,softcare,esoft,6
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00015_2e148699f157.webp,,False,56.88,softcare,Fresh,7
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00016_4f6f27ec1e7a.webp,,False,38.59,softcare,PANYIN ENTERPRISE,5
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00017_7adf459cb9d5.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00017_7adf459cb9d5.webp,True,72.42,softcare,"Saftcare""",38
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00018_21991d65a644.webp,,False,59.24,softcare,FANTA,9
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00019_8298c92a81ce.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00019_8298c92a81ce.webp,True,63.47,softcare,Kleesoft,22
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00019_d145e4820d3e.webp,,False,52.55,softcare,MEDICATED SOA,32
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00020_9585d0341d57.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00020_9585d0341d57.webp,True,66.13,softcare,ita,22
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00021_8ed786653a19.webp,,False,58.33,softcare,sister ama store,36
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00021_ed7be46635a0.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00021_ed7be46635a0.webp,True,76.73,softcare,So,18
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00022_63dcaf991eb9.webp,,False,49.34,softcare,AL,14
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00023_f3990890e051.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00023_f3990890e051.webp,True,64.7,softcare,A,16
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00024_474b009284fc.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00024_474b009284fc.webp,True,73.54,softcare,Softcane,27
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00024_bd0e836137a0.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00024_bd0e836137a0.webp,True,63.22,softcare,Kleesoft,13
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00025_3bd84ddebf80.webp,,False,43.98,softcare,Santex,8
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00026_5525c69d24c0.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00026_5525c69d24c0.webp,True,97.34,softcare,Care,42
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00027_d1b3dbbca054.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00027_d1b3dbbca054.webp,True,74.96,softcare,ftcare,35
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00028_31aba0b9e162.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00028_31aba0b9e162.webp,True,81.02,softcare,SO,17
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00029_764318b37967.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00029_764318b37967.webp,True,63.29,softcare,lteare,13
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00030_02ff529f85f0.webp,,False,47.17,softcare,God time is thebestab,8
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00030_df608a75317c.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00030_df608a75317c.webp,True,72.67,softcare,Softcaie,12
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00031_8b6f6cba8bb0.webp,,False,59.13,softcare,gods favour ent,6
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00032_8c44741b9962.webp,,False,51.98,softcare,Softes,22
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00032_8d3a1d4154fa.webp,,False,44.53,softcare,GRACIOUS SUPERMARKET,8
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00033_f8a3ee683953.webp,,False,38.51,softcare,MASHAHALLAH ENTERPRISE,7
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00034_c74006569666.webp,,False,42.36,softcare,ADOMARAKWAENT,8
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00035_7a6c3aca8363.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00035_7a6c3aca8363.webp,True,69.48,softcare,leesoft,28
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00036_b23b1714ca91.webp,,False,44.93,softcare,BO,13
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00037_4d1812d2623f.webp,,False,37.93,softcare,FRANCISCAAND SONS ENT,7
