image,label,split,box_count
datasets/softcare/pseudo/images/train/row00002_1d59f9162b2f.webp,datasets/softcare/pseudo/labels/train/row00002_1d59f9162b2f.txt,train,4
datasets/softcare/pseudo/images/train/row00002_78e277790497.webp,datasets/softcare/pseudo/labels/train/row00002_78e277790497.txt,train,0
datasets/softcare/pseudo/images/train/row00004_9af483ed86ef.webp,datasets/softcare/pseudo/labels/train/row00004_9af483ed86ef.txt,train,12
datasets/softcare/pseudo/images/train/row00005_118e88c6282f.webp,datasets/softcare/pseudo/labels/train/row00005_118e88c6282f.txt,train,65
datasets/softcare/pseudo/images/train/row00006_5c925b7eed28.webp,datasets/softcare/pseudo/labels/train/row00006_5c925b7eed28.txt,train,4
datasets/softcare/pseudo/images/train/row00007_99af0ec01033.webp,datasets/softcare/pseudo/labels/train/row00007_99af0ec01033.txt,train,7
datasets/softcare/pseudo/images/train/row00008_5d335be2a9b5.webp,datasets/softcare/pseudo/labels/train/row00008_5d335be2a9b5.txt,train,0
datasets/softcare/pseudo/images/train/row00008_8951ed271377.webp,datasets/softcare/pseudo/labels/train/row00008_8951ed271377.txt,train,3
datasets/softcare/pseudo/images/train/row00013_6ac065a94755.webp,datasets/softcare/pseudo/labels/train/row00013_6ac065a94755.txt,train,4
datasets/softcare/pseudo/images/train/row00014_7cb985b70e20.webp,datasets/softcare/pseudo/labels/train/row00014_7cb985b70e20.txt,train,0
datasets/softcare/pseudo/images/train/row00017_7adf459cb9d5.webp,datasets/softcare/pseudo/labels/train/row00017_7adf459cb9d5.txt,train,25
datasets/softcare/pseudo/images/train/row00019_8298c92a81ce.webp,datasets/softcare/pseudo/labels/train/row00019_8298c92a81ce.txt,train,14
datasets/softcare/pseudo/images/train/row00020_9585d0341d57.webp,datasets/softcare/pseudo/labels/train/row00020_9585d0341d57.txt,train,2
datasets/softcare/pseudo/images/train/row00021_ed7be46635a0.webp,datasets/softcare/pseudo/labels/train/row00021_ed7be46635a0.txt,train,2
datasets/softcare/pseudo/images/train/row00023_f3990890e051.webp,datasets/softcare/pseudo/labels/train/row00023_f3990890e051.txt,train,5
datasets/softcare/pseudo/images/train/row00024_474b009284fc.webp,datasets/softcare/pseudo/labels/train/row00024_474b009284fc.txt,train,5
datasets/softcare/pseudo/images/train/row00024_bd0e836137a0.webp,datasets/softcare/pseudo/labels/train/row00024_bd0e836137a0.txt,train,11
datasets/softcare/pseudo/images/train/row00026_5525c69d24c0.webp,datasets/softcare/pseudo/labels/train/row00026_5525c69d24c0.txt,train,9
datasets/softcare/pseudo/images/train/row00027_d1b3dbbca054.webp,datasets/softcare/pseudo/labels/train/row00027_d1b3dbbca054.txt,train,8
datasets/softcare/pseudo/images/train/row00028_31aba0b9e162.webp,datasets/softcare/pseudo/labels/train/row00028_31aba0b9e162.txt,train,3
datasets/softcare/pseudo/images/train/row00029_764318b37967.webp,datasets/softcare/pseudo/labels/train/row00029_764318b37967.txt,train,0
datasets/softcare/pseudo/images/train/row00030_df608a75317c.webp,datasets/softcare/pseudo/labels/train/row00030_df608a75317c.txt,train,2
datasets/softcare/pseudo/images/train/row00035_7a6c3aca8363.webp,datasets/softcare/pseudo/labels/train/row00035_7a6c3aca8363.txt,train,14
datasets/softcare/pseudo/images/train/row00038_5c9a1ac516cd.webp,datasets/softcare/pseudo/labels/train/row00038_5c9a1ac516cd.txt,train,8
datasets/softcare/pseudo/images/train/row00040_dd5b0f77af02.webp,datasets/softcare/pseudo/labels/train/row00040_dd5b0f77af02.txt,train,17
datasets/softcare/pseudo/images/train/row00043_0a80c393a4f6.webp,datasets/softcare/pseudo/labels/train/row00043_0a80c393a4f6.txt,train,10
datasets/softcare/pseudo/images/train/row00045_ac154b4015c2.webp,datasets/softcare/pseudo/labels/train/row00045_ac154b4015c2.txt,train,16
datasets/softcare/pseudo/images/train/row00047_28ecd3144b6a.webp,datasets/softcare/pseudo/labels/train/row00047_28ecd3144b6a.txt,train,3
datasets/softcare/pseudo/images/train/row00049_87b4c7a383ac.webp,datasets/softcare/pseudo/labels/train/row00049_87b4c7a383ac.txt,train,0
datasets/softcare/pseudo/images/train/row00050_a558878db236.webp,datasets/softcare/pseudo/labels/train/row00050_a558878db236.txt,train,16
datasets/softcare/pseudo/images/train/row00051_723187a0c4f2.webp,datasets/softcare/pseudo/labels/train/row00051_723187a0c4f2.txt,train,5
datasets/softcare/pseudo/images/train/row00051_a521cc9375e2.webp,datasets/softcare/pseudo/labels/train/row00051_a521cc9375e2.txt,train,5
datasets/softcare/pseudo/images/train/row00051_f11498117c91.webp,datasets/softcare/pseudo/labels/train/row00051_f11498117c91.txt,train,18
datasets/softcare/pseudo/images/train/row00053_68b732c5680a.webp,datasets/softcare/pseudo/labels/train/row00053_68b732c5680a.txt,train,3
datasets/softcare/pseudo/images/train/row00053_9433041b8b5f.webp,datasets/softcare/pseudo/labels/train/row00053_9433041b8b5f.txt,train,6
