epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,88.3883,0.93077,4.85875,0.00637,0.02086,0.19982,0.02243,0.01593,0.75921,4.58091,0.00739,0.000137345,0.000137345,0.000137345
2,173.231,0.86997,3.63652,0.00587,0.26698,0.07462,0.0334,0.02551,0.7505,3.45528,0.0073,0.000273609,0.000273609,0.000273609
3,257.196,0.85427,3.01559,0.00542,0.41182,0.07273,0.04018,0.03131,0.75288,2.97945,0.00738,0.000407121,0.000407121,0.000407121
4,343.377,0.86865,2.76321,0.00595,0.55607,0.11389,0.05337,0.04101,0.76134,2.63323,0.00727,0.000404615,0.000404615,0.000404615
5,440.348,0.86113,2.57381,0.00609,0.49594,0.1021,0.06139,0.04758,0.7437,2.46026,0.007,0.000400487,0.000400487,0.000400487
6,537.088,0.8606,2.46718,0.00617,0.43724,0.11093,0.0666,0.05098,0.74546,2.30507,0.00714,0.000396358,0.000396358,0.000396358
7,631.413,0.85451,2.33489,0.00586,0.44174,0.12509,0.07102,0.05479,0.755,2.23507,0.00731,0.00039223,0.00039223,0.00039223
8,725.934,0.83985,2.20704,0.00565,0.38075,0.11941,0.08578,0.06542,0.73873,2.17304,0.00706,0.000388102,0.000388102,0.000388102
9,820.006,0.82627,2.14003,0.00558,0.50452,0.12355,0.07468,0.0583,0.74378,2.17514,0.00724,0.000383974,0.000383974,0.000383974
10,907.332,0.80551,2.08092,0.00531,0.36672,0.14959,0.08493,0.06631,0.72815,2.16329,0.00702,0.000379845,0.000379845,0.000379845
11,992.809,0.81278,2.06278,0.00541,0.44801,0.14804,0.08547,0.06805,0.72383,2.08421,0.00688,0.000375717,0.000375717,0.000375717
12,1078.42,0.82374,2.03072,0.00537,0.45111,0.1466,0.09126,0.0722,0.71192,2.06191,0.00674,0.000371589,0.000371589,0.000371589
13,1164.43,0.82206,1.98467,0.00532,0.44509,0.1606,0.09555,0.07343,0.74653,2.02348,0.00727,0.00036746,0.00036746,0.00036746
14,1249.92,0.79852,1.93368,0.00531,0.51884,0.14011,0.09046,0.06958,0.72652,2.04481,0.00712,0.000363332,0.000363332,0.000363332
15,1335.24,0.78155,1.92114,0.00532,0.46147,0.13834,0.0993,0.07619,0.73655,2.00464,0.00725,0.000359204,0.000359204,0.000359204
16,1420.92,0.79249,1.87539,0.00543,0.39217,0.13344,0.08975,0.07179,0.72907,2.068,0.00706,0.000355076,0.000355076,0.000355076
17,1506.15,0.79754,1.81609,0.00523,0.40255,0.12391,0.09552,0.07498,0.75953,2.00733,0.00722,0.000350947,0.000350947,0.000350947
18,1592.55,0.81336,1.82553,0.00562,0.60411,0.12074,0.09229,0.07342,0.73759,2.05809,0.00711,0.000346819,0.000346819,0.000346819
19,1679.22,0.79291,1.76762,0.00527,0.44028,0.15327,0.092,0.07111,0.76716,2.04704,0.00743,0.000342691,0.000342691,0.000342691
20,1764.9,0.77682,1.76881,0.00536,0.46982,0.1394,0.09425,0.07112,0.74126,2.06416,0.00715,0.000338562,0.000338562,0.000338562
21,1851.39,0.77356,1.68603,0.00526,0.38433,0.15111,0.10057,0.07948,0.739,1.95367,0.00712,0.000334434,0.000334434,0.000334434
22,1939.56,0.75779,1.64877,0.00511,0.53791,0.13264,0.10087,0.07974,0.74237,1.97468,0.00719,0.000330306,0.000330306,0.000330306
23,2026.21,0.76547,1.63444,0.00518,0.45883,0.16466,0.09839,0.07664,0.74481,2.0286,0.00728,0.000326177,0.000326177,0.000326177
24,2111.56,0.75772,1.58909,0.00506,0.47158,0.1165,0.09735,0.07696,0.73351,2.03547,0.0072,0.000322049,0.000322049,0.000322049
25,2196.74,0.75437,1.58574,0.00524,0.39644,0.14017,0.10381,0.08261,0.75921,1.97871,0.00749,0.000317921,0.000317921,0.000317921
26,2282.57,0.75919,1.521,0.00515,0.32199,0.16783,0.10446,0.08193,0.74419,2.03349,0.00723,0.000313792,0.000313792,0.000313792
27,2371.11,0.75245,1.56637,0.00505,0.38868,0.17158,0.09996,0.07759,0.7643,2.10423,0.00731,0.000309664,0.000309664,0.000309664
28,2465.47,0.7544,1.53343,0.00499,0.45822,0.12923,0.09447,0.07454,0.74461,2.04454,0.0073,0.000305536,0.000305536,0.000305536
29,2558.83,0.76098,1.4779,0.00513,0.37457,0.14714,0.08972,0.06977,0.75979,2.08858,0.00739,0.000301408,0.000301408,0.000301408
30,2656.84,0.73153,1.45278,0.00493,0.46422,0.12632,0.08889,0.06969,0.75457,2.10577,0.00737,0.000297279,0.000297279,0.000297279
31,2754,0.73632,1.3917,0.00483,0.49425,0.1241,0.08833,0.06929,0.72991,2.09246,0.00705,0.000293151,0.000293151,0.000293151
32,2849.1,0.72176,1.37932,0.00451,0.30109,0.14311,0.0847,0.06584,0.74345,2.09476,0.00718,0.000289023,0.000289023,0.000289023
33,2945.88,0.7367,1.39128,0.00487,0.37765,0.13797,0.08632,0.06693,0.7492,2.10898,0.00722,0.000284894,0.000284894,0.000284894
34,3044.29,0.7295,1.36726,0.00497,0.32738,0.12862,0.0975,0.07566,0.74403,2.15698,0.00724,0.000280766,0.000280766,0.000280766
35,3137.98,0.70943,1.29873,0.00451,0.4031,0.17064,0.09517,0.07278,0.7565,2.17196,0.00728,0.000276638,0.000276638,0.000276638
36,3233.06,0.73283,1.32278,0.00502,0.37367,0.14411,0.08729,0.06616,0.75798,2.1733,0.00738,0.000272509,0.000272509,0.000272509
37,3329.56,0.72862,1.26709,0.00491,0.31217,0.13427,0.08945,0.06808,0.74853,2.16293,0.00737,0.000268381,0.000268381,0.000268381
38,3426.16,0.71825,1.26023,0.00457,0.38624,0.14392,0.09104,0.07098,0.74399,2.23123,0.00727,0.000264253,0.000264253,0.000264253
39,3522.52,0.71713,1.27361,0.00492,0.22721,0.16887,0.10281,0.08151,0.75238,2.16993,0.00735,0.000260125,0.000260125,0.000260125
