epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4775,1.97983,2.49111,1.56815,0.08085,0.53949,0.06151,0.02337,2.23409,12.7938,1.94306,0.000662132,0.000662132,0.000662132
2,58.0353,2.09849,2.22179,1.66204,0.52623,0.44486,0.44496,0.17287,2.19298,2.50502,1.8596,0.00132003,0.00132003,0.00132003
3,83.8315,2.12676,2.52204,1.6597,0.29277,0.21535,0.1511,0.06378,2.5416,4.40699,2.27635,0.00196912,0.00196912,0.00196912
4,108.392,2.11494,2.33262,1.71485,0.51076,0.37341,0.40024,0.16911,2.06102,2.52714,1.7752,0.0019604,0.0019604,0.0019604
5,132.94,2.00449,2.73962,1.63973,0.60096,0.462,0.49412,0.2205,2.01984,2.50429,1.78349,0.0019472,0.0019472,0.0019472
6,158.681,2.13839,2.27832,1.67999,0.47835,0.34575,0.3517,0.14914,2.18909,2.60738,1.85909,0.001934,0.001934,0.001934
7,183.254,2.09332,2.11122,1.64534,0.46451,0.49702,0.47911,0.21389,1.9784,2.41895,1.71486,0.0019208,0.0019208,0.0019208
8,207.748,2.03933,2.55366,1.62932,0.60109,0.55365,0.52714,0.22333,2.05954,1.95667,1.76363,0.0019076,0.0019076,0.0019076
9,233.411,2.03735,2.05175,1.62973,0.5802,0.50051,0.49969,0.21005,2.06845,1.90736,1.75006,0.0018944,0.0018944,0.0018944
10,257.983,1.99028,1.75078,1.54537,0.68624,0.58197,0.61595,0.28722,1.93517,1.70516,1.65757,0.0018812,0.0018812,0.0018812
11,283.709,1.94994,1.81462,1.57545,0.67556,0.54461,0.59571,0.25793,2.03795,1.75352,1.71786,0.001868,0.001868,0.001868
12,308.613,1.97412,1.8486,1.5374,0.75294,0.55864,0.63907,0.29745,1.91389,1.72549,1.63534,0.0018548,0.0018548,0.0018548
13,334.413,1.94115,2.08534,1.52817,0.69494,0.55291,0.59572,0.27299,2.00832,1.67719,1.67827,0.0018416,0.0018416,0.0018416
14,358.996,1.98509,1.78268,1.55824,0.69393,0.57452,0.62307,0.27154,1.99239,1.60986,1.71575,0.0018284,0.0018284,0.0018284
15,383.511,1.89252,2.1379,1.51753,0.67867,0.60209,0.63114,0.28079,1.97085,1.58874,1.67381,0.0018152,0.0018152,0.0018152
16,408.078,1.87809,1.57558,1.51382,0.70595,0.62433,0.65345,0.29929,1.92537,1.61281,1.63992,0.001802,0.001802,0.001802
17,433.815,1.905,1.52206,1.51878,0.65755,0.61624,0.6334,0.29646,1.93268,1.61202,1.64477,0.0017888,0.0017888,0.0017888
18,458.375,1.90739,1.56493,1.54774,0.73568,0.60358,0.66821,0.30995,1.91143,1.56275,1.6293,0.0017756,0.0017756,0.0017756
19,484.136,1.84165,1.51895,1.51445,0.68493,0.53726,0.59738,0.26997,2.03895,1.6561,1.76287,0.0017624,0.0017624,0.0017624
20,508.692,1.95085,1.688,1.58614,0.73507,0.64083,0.66174,0.31034,1.9483,1.51563,1.70514,0.0017492,0.0017492,0.0017492
21,534.414,1.86638,1.61608,1.50989,0.76555,0.61252,0.6851,0.31893,1.93958,1.44328,1.66113,0.001736,0.001736,0.001736
22,560.191,1.85339,1.72893,1.49842,0.69678,0.58905,0.62538,0.28837,1.94358,1.70534,1.6753,0.0017228,0.0017228,0.0017228
23,584.758,1.85167,1.44453,1.50449,0.75463,0.61648,0.67658,0.30071,2.0224,1.47726,1.74091,0.0017096,0.0017096,0.0017096
24,609.329,1.90576,1.55714,1.5068,0.76354,0.62966,0.69,0.31615,1.92442,1.44075,1.68867,0.0016964,0.0016964,0.0016964
25,633.838,1.88331,1.4433,1.50188,0.69081,0.66468,0.65579,0.30928,1.92339,1.47745,1.65027,0.0016832,0.0016832,0.0016832
26,658.361,1.86268,1.51381,1.50951,0.76304,0.64547,0.688,0.31863,1.90971,1.47133,1.6805,0.00167,0.00167,0.00167
27,682.873,1.82072,1.43545,1.4762,0.76686,0.57843,0.64887,0.28892,2.02645,1.50685,1.7085,0.0016568,0.0016568,0.0016568
28,707.406,1.84517,1.38051,1.502,0.73811,0.63338,0.66531,0.30493,1.99496,1.44777,1.70007,0.0016436,0.0016436,0.0016436
29,731.931,1.90153,1.5044,1.51359,0.73108,0.6468,0.67339,0.31479,1.97192,1.42499,1.69518,0.0016304,0.0016304,0.0016304
30,756.464,1.7976,1.39952,1.48939,0.75928,0.65499,0.6997,0.3316,1.88192,1.36377,1.64404,0.0016172,0.0016172,0.0016172
31,782.241,1.88474,1.5444,1.48219,0.7544,0.64456,0.68867,0.32047,1.9035,1.38003,1.62499,0.001604,0.001604,0.001604
32,807.003,1.85732,1.34832,1.47337,0.75505,0.65234,0.69943,0.31718,1.91753,1.45524,1.66355,0.0015908,0.0015908,0.0015908
33,831.558,1.83557,1.36064,1.46802,0.744,0.6302,0.6922,0.3267,1.92062,1.45216,1.67763,0.0015776,0.0015776,0.0015776
34,856.134,1.82359,1.40894,1.50006,0.7499,0.65201,0.70058,0.33416,1.89271,1.37765,1.64108,0.0015644,0.0015644,0.0015644
35,881.898,1.81868,1.33247,1.46358,0.75449,0.62668,0.68767,0.3363,1.91362,1.41445,1.63718,0.0015512,0.0015512,0.0015512
36,907.66,1.81195,1.33905,1.44508,0.71655,0.68703,0.71274,0.33503,1.96182,1.35887,1.6799,0.001538,0.001538,0.001538
37,932.189,1.84144,1.31611,1.46796,0.7246,0.64829,0.68886,0.33069,1.90063,1.36735,1.64003,0.0015248,0.0015248,0.0015248
38,956.72,1.77834,1.32787,1.43465,0.73182,0.63785,0.69394,0.32355,1.91446,1.40433,1.68529,0.0015116,0.0015116,0.0015116
39,981.212,1.74943,1.48117,1.47596,0.74003,0.63562,0.69221,0.33712,1.82216,1.57302,1.61126,0.0014984,0.0014984,0.0014984
40,1007.01,1.83491,1.44942,1.47536,0.74956,0.67735,0.7256,0.34751,1.89167,1.31841,1.63607,0.0014852,0.0014852,0.0014852
41,1032.79,1.81499,1.50333,1.45487,0.71542,0.65127,0.68839,0.32087,1.91974,1.55997,1.68714,0.001472,0.001472,0.001472
42,1057.31,1.78192,1.29284,1.44617,0.77115,0.6997,0.73677,0.35001,1.87504,1.30501,1.65318,0.0014588,0.0014588,0.0014588
43,1083.1,1.84094,1.32194,1.49363,0.72509,0.67216,0.70316,0.34462,1.8297,1.39632,1.63045,0.0014456,0.0014456,0.0014456
44,1107.7,1.76797,1.36675,1.46019,0.73749,0.66989,0.70805,0.33727,1.92012,1.3283,1.66297,0.0014324,0.0014324,0.0014324
45,1132.26,1.77396,1.42531,1.4734,0.7368,0.68256,0.70951,0.35227,1.85247,1.36142,1.62093,0.0014192,0.0014192,0.0014192
46,1157.99,1.76423,1.44689,1.44457,0.73239,0.68778,0.70972,0.34986,1.86843,1.30313,1.64046,0.001406,0.001406,0.001406
47,1182.49,1.77752,1.36562,1.49338,0.72583,0.70621,0.72663,0.3566,1.85979,1.30207,1.64444,0.0013928,0.0013928,0.0013928
48,1208.26,1.79085,1.40751,1.4341,0.74383,0.67735,0.72497,0.35795,1.84884,1.32935,1.63533,0.0013796,0.0013796,0.0013796
49,1234.01,1.78758,1.30567,1.44008,0.77362,0.64978,0.71399,0.34791,1.86047,1.29769,1.61655,0.0013664,0.0013664,0.0013664
50,1258.7,1.84826,1.66518,1.51663,0.76093,0.65461,0.71074,0.3458,1.88916,1.32547,1.65161,0.0013532,0.0013532,0.0013532
51,1283.22,1.78396,1.32536,1.47361,0.73463,0.64978,0.69462,0.33062,1.90713,1.38663,1.66358,0.00134,0.00134,0.00134
52,1307.72,1.71883,1.18735,1.39209,0.78363,0.6747,0.73327,0.36298,1.84413,1.2378,1.5958,0.0013268,0.0013268,0.0013268
53,1333.53,1.82105,1.36261,1.46684,0.7363,0.66766,0.71295,0.35268,1.8922,1.32256,1.65552,0.0013136,0.0013136,0.0013136
54,1358.09,1.75069,1.45577,1.42622,0.74367,0.67018,0.72652,0.35582,1.85307,1.32321,1.64465,0.0013004,0.0013004,0.0013004
55,1382.61,1.7381,1.23721,1.42607,0.74051,0.69536,0.73073,0.34811,1.88507,1.24693,1.66002,0.0012872,0.0012872,0.0012872
56,1407.09,1.73648,1.2735,1.39708,0.77374,0.65233,0.72371,0.35026,1.86127,1.23966,1.62229,0.001274,0.001274,0.001274
57,1431.58,1.71791,1.18167,1.40041,0.75398,0.68629,0.73329,0.35945,1.84193,1.24575,1.61368,0.0012608,0.0012608,0.0012608
58,1456.08,1.74056,1.37713,1.42889,0.73317,0.67976,0.7285,0.35159,1.87688,1.24672,1.64528,0.0012476,0.0012476,0.0012476
59,1480.68,1.76459,1.24404,1.4374,0.75762,0.64903,0.72193,0.35553,1.85481,1.25078,1.63808,0.0012344,0.0012344,0.0012344
60,1505.24,1.71817,1.61182,1.39697,0.71403,0.68554,0.71342,0.33579,1.90417,1.25351,1.67657,0.0012212,0.0012212,0.0012212
61,1529.83,1.77,1.23303,1.43564,0.73345,0.68107,0.72754,0.36022,1.8518,1.26177,1.62784,0.001208,0.001208,0.001208
62,1554.33,1.69683,1.37225,1.41,0.76587,0.69223,0.73301,0.34825,1.9096,1.28122,1.64749,0.0011948,0.0011948,0.0011948
63,1578.85,1.75033,1.47378,1.42043,0.7619,0.67288,0.72143,0.34108,1.87754,1.27075,1.65155,0.0011816,0.0011816,0.0011816
64,1603.4,1.72446,1.27168,1.45776,0.75297,0.69449,0.72261,0.3435,1.90352,1.22132,1.66291,0.0011684,0.0011684,0.0011684
65,1627.96,1.7271,1.10116,1.37853,0.74279,0.68216,0.72232,0.35443,1.84608,1.2358,1.60077,0.0011552,0.0011552,0.0011552
66,1652.46,1.67126,1.27942,1.37728,0.75755,0.65648,0.71498,0.34079,1.9266,1.29601,1.67445,0.001142,0.001142,0.001142
67,1676.97,1.71915,1.16653,1.42324,0.74433,0.693,0.73761,0.35527,1.87179,1.24175,1.63002,0.0011288,0.0011288,0.0011288
68,1701.55,1.69885,1.08601,1.40337,0.74101,0.69374,0.73629,0.3517,1.89247,1.19182,1.65629,0.0011156,0.0011156,0.0011156
69,1726.28,1.70298,1.1157,1.38851,0.74962,0.69001,0.73509,0.36356,1.85289,1.22181,1.63975,0.0011024,0.0011024,0.0011024
70,1752.04,1.72981,1.14189,1.39154,0.7631,0.68331,0.73443,0.36048,1.83615,1.21439,1.62535,0.0010892,0.0010892,0.0010892
71,1776.55,1.72045,1.13195,1.44309,0.73387,0.69747,0.73971,0.36679,1.86082,1.2732,1.6436,0.001076,0.001076,0.001076
72,1802.32,1.65301,1.09609,1.37198,0.75294,0.69747,0.73467,0.3578,1.85989,1.34828,1.64817,0.0010628,0.0010628,0.0010628
73,1826.87,1.7118,1.09759,1.40108,0.77889,0.67984,0.74102,0.3619,1.8885,1.24694,1.66078,0.0010496,0.0010496,0.0010496
74,1851.36,1.67466,1.6968,1.40682,0.75398,0.6874,0.73785,0.36245,1.9014,1.26518,1.66306,0.0010364,0.0010364,0.0010364
75,1875.81,1.72262,1.19015,1.44525,0.77226,0.66319,0.72393,0.3433,1.87651,1.31192,1.65778,0.0010232,0.0010232,0.0010232
76,1900.29,1.66939,1.21244,1.40792,0.72136,0.63413,0.66897,0.32516,1.88266,1.51482,1.66105,0.00101,0.00101,0.00101
77,1924.86,1.64089,1.14413,1.35719,0.75365,0.7044,0.72784,0.35481,1.88888,1.19453,1.65487,0.0009968,0.0009968,0.0009968
78,1949.41,1.72399,1.10092,1.41491,0.76543,0.68331,0.73134,0.34664,1.94107,1.28641,1.69995,0.0009836,0.0009836,0.0009836
79,1973.92,1.64494,1.04056,1.37297,0.75643,0.70268,0.72891,0.351,1.89583,1.21703,1.65942,0.0009704,0.0009704,0.0009704
80,1998.45,1.66941,1.08256,1.40468,0.73778,0.72123,0.74774,0.3685,1.86354,1.22036,1.65793,0.0009572,0.0009572,0.0009572
81,2024.2,1.65594,1.10546,1.37999,0.7386,0.71759,0.73302,0.35573,1.90684,1.25045,1.66263,0.000944,0.000944,0.000944
82,2048.73,1.70405,1.05346,1.39655,0.73733,0.69236,0.7196,0.3469,1.88222,1.285,1.65473,0.0009308,0.0009308,0.0009308
83,2073.25,1.6701,1.10166,1.40251,0.77225,0.6822,0.72984,0.36116,1.85773,1.18385,1.6513,0.0009176,0.0009176,0.0009176
84,2097.78,1.65864,1.25984,1.39178,0.77281,0.69151,0.7385,0.35342,1.87718,1.21753,1.66189,0.0009044,0.0009044,0.0009044
85,2122.27,1.65468,1.14231,1.38176,0.75838,0.72653,0.73684,0.36415,1.86904,1.17303,1.62898,0.0008912,0.0008912,0.0008912
86,2146.77,1.6364,1.07075,1.37601,0.76598,0.71833,0.74699,0.35483,1.89467,1.16973,1.66751,0.000878,0.000878,0.000878
87,2171.3,1.66204,1.01481,1.37393,0.75941,0.70796,0.7503,0.35961,1.88853,1.18573,1.65613,0.0008648,0.0008648,0.0008648
88,2196.02,1.64294,0.99919,1.35177,0.74714,0.7228,0.73765,0.34902,1.95253,1.18939,1.69689,0.0008516,0.0008516,0.0008516
89,2220.51,1.6266,1.02408,1.33515,0.75564,0.70051,0.73254,0.34281,1.94848,1.27662,1.70761,0.0008384,0.0008384,0.0008384
90,2244.99,1.67877,1.09057,1.37998,0.76577,0.72578,0.75236,0.36479,1.84745,1.19286,1.64324,0.0008252,0.0008252,0.0008252
91,2269.56,1.62395,1.00453,1.37296,0.75247,0.71808,0.74101,0.35802,1.87887,1.18338,1.66555,0.000812,0.000812,0.000812
92,2294.09,1.6053,0.98472,1.36798,0.76439,0.70715,0.74045,0.35803,1.88493,1.21005,1.65207,0.0007988,0.0007988,0.0007988
93,2318.59,1.66116,0.9898,1.35709,0.78165,0.68554,0.73409,0.35376,1.88486,1.23729,1.65135,0.0007856,0.0007856,0.0007856
94,2343.06,1.62384,0.9952,1.37199,0.75325,0.67884,0.71663,0.34614,1.88023,1.27413,1.66506,0.0007724,0.0007724,0.0007724
95,2367.58,1.65359,0.99012,1.38228,0.74004,0.73025,0.74055,0.36582,1.84225,1.17272,1.62517,0.0007592,0.0007592,0.0007592
96,2392.02,1.62872,1.03747,1.32865,0.7735,0.71507,0.73309,0.35698,1.88639,1.22849,1.663,0.000746,0.000746,0.000746
97,2416.58,1.60855,0.98716,1.36033,0.76444,0.71162,0.73164,0.359,1.88791,1.22253,1.66046,0.0007328,0.0007328,0.0007328
98,2441.08,1.56972,0.97359,1.34675,0.74968,0.71237,0.74238,0.3601,1.87233,1.17137,1.64005,0.0007196,0.0007196,0.0007196
99,2465.53,1.55408,0.96301,1.32118,0.74877,0.72402,0.7432,0.36163,1.89361,1.15862,1.65483,0.0007064,0.0007064,0.0007064
100,2490.07,1.64033,0.97269,1.3607,0.75445,0.69142,0.72552,0.35056,1.8941,1.22928,1.66096,0.0006932,0.0006932,0.0006932
101,2514.61,1.57978,0.94391,1.33025,0.73438,0.73174,0.7421,0.35496,1.90562,1.18351,1.6744,0.00068,0.00068,0.00068
102,2539.12,1.57944,0.89308,1.32941,0.74502,0.72653,0.73626,0.35746,1.88258,1.16071,1.65179,0.0006668,0.0006668,0.0006668
103,2563.6,1.5827,0.95352,1.31902,0.75061,0.71088,0.73877,0.36376,1.85068,1.17422,1.63721,0.0006536,0.0006536,0.0006536
104,2588.22,1.55184,0.9021,1.32202,0.76932,0.71324,0.74328,0.3635,1.87897,1.17992,1.65893,0.0006404,0.0006404,0.0006404
105,2612.79,1.5667,0.96708,1.313,0.77249,0.70492,0.74215,0.36129,1.86975,1.14947,1.62765,0.0006272,0.0006272,0.0006272
106,2637.34,1.58016,0.94365,1.33135,0.76027,0.72653,0.74661,0.36342,1.90333,1.16766,1.66905,0.000614,0.000614,0.000614
107,2661.84,1.62027,0.90237,1.32145,0.75696,0.71944,0.74911,0.36565,1.89077,1.19009,1.65409,0.0006008,0.0006008,0.0006008
108,2686.37,1.56556,0.91931,1.31735,0.7417,0.71013,0.7349,0.36338,1.86455,1.2135,1.62335,0.0005876,0.0005876,0.0005876
109,2710.87,1.58681,0.93518,1.33707,0.77194,0.71982,0.75339,0.36507,1.90237,1.16309,1.6832,0.0005744,0.0005744,0.0005744
110,2735.41,1.56687,0.91251,1.32493,0.74899,0.71386,0.74427,0.36116,1.88332,1.11923,1.6584,0.0005612,0.0005612,0.0005612
111,2759.94,1.5485,0.95793,1.32801,0.76967,0.71962,0.7511,0.36421,1.90673,1.14852,1.68154,0.000548,0.000548,0.000548
112,2784.41,1.58811,0.96372,1.34941,0.75339,0.71311,0.74544,0.36264,1.89669,1.145,1.68365,0.0005348,0.0005348,0.0005348
113,2808.95,1.5505,0.92498,1.31577,0.76869,0.71564,0.75875,0.36766,1.8953,1.16623,1.67599,0.0005216,0.0005216,0.0005216
114,2833.51,1.59953,0.92207,1.3417,0.7528,0.71027,0.74628,0.36302,1.87964,1.15426,1.65455,0.0005084,0.0005084,0.0005084
115,2857.98,1.56169,0.90873,1.32153,0.78132,0.71013,0.75111,0.36175,1.88119,1.19265,1.6506,0.0004952,0.0004952,0.0004952
116,2882.51,1.53576,0.95052,1.31133,0.77396,0.70715,0.73924,0.35941,1.90192,1.16456,1.65602,0.000482,0.000482,0.000482
117,2907.04,1.54275,0.87725,1.30991,0.74399,0.73194,0.75136,0.36589,1.87726,1.18303,1.66207,0.0004688,0.0004688,0.0004688
118,2931.58,1.50873,0.86738,1.30004,0.75512,0.71691,0.74156,0.36143,1.85629,1.18801,1.64561,0.0004556,0.0004556,0.0004556
119,2956.06,1.51571,0.87154,1.28931,0.76081,0.71386,0.73782,0.35554,1.9017,1.1871,1.6753,0.0004424,0.0004424,0.0004424
120,2980.55,1.52577,1.00245,1.30478,0.74634,0.7213,0.74682,0.36581,1.8758,1.1555,1.64881,0.0004292,0.0004292,0.0004292
121,3005.06,1.51239,0.87295,1.27928,0.76063,0.72578,0.74371,0.36212,1.88743,1.14395,1.67024,0.000416,0.000416,0.000416
122,3029.54,1.5614,0.91416,1.31077,0.78041,0.71236,0.74272,0.36316,1.8874,1.14514,1.66034,0.0004028,0.0004028,0.0004028
123,3053.99,1.52379,0.86638,1.29714,0.72904,0.72778,0.73779,0.35734,1.88917,1.15758,1.66009,0.0003896,0.0003896,0.0003896
124,3078.57,1.50459,0.87826,1.31223,0.73168,0.74292,0.74375,0.359,1.89256,1.14586,1.657,0.0003764,0.0003764,0.0003764
125,3103.25,1.53304,0.89023,1.30255,0.76325,0.70866,0.73344,0.35101,1.89603,1.21714,1.67341,0.0003632,0.0003632,0.0003632
126,3127.74,1.51171,0.85041,1.30596,0.7708,0.73547,0.75301,0.36147,1.90936,1.15728,1.68686,0.00035,0.00035,0.00035
127,3152.31,1.51309,0.83341,1.30331,0.78078,0.71088,0.74177,0.36377,1.92619,1.1701,1.6956,0.0003368,0.0003368,0.0003368
128,3176.84,1.52231,0.81999,1.28738,0.7572,0.71806,0.73943,0.36061,1.90287,1.1704,1.67127,0.0003236,0.0003236,0.0003236
129,3201.38,1.47337,0.94643,1.25801,0.76194,0.72026,0.7438,0.35696,1.91598,1.13287,1.67687,0.0003104,0.0003104,0.0003104
130,3225.87,1.45952,0.82149,1.28973,0.77218,0.70268,0.7435,0.35366,1.90205,1.20376,1.67868,0.0002972,0.0002972,0.0002972
131,3250.36,1.47547,0.93877,1.28247,0.75576,0.7194,0.73978,0.35956,1.89584,1.16162,1.666,0.000284,0.000284,0.000284
132,3274.87,1.44943,0.79758,1.28235,0.74961,0.73547,0.74776,0.35921,1.90038,1.12716,1.67163,0.0002708,0.0002708,0.0002708
133,3299.43,1.49472,0.83505,1.28905,0.77246,0.70715,0.74233,0.36205,1.88681,1.13271,1.66012,0.0002576,0.0002576,0.0002576
134,3323.98,1.49261,0.87458,1.29538,0.75221,0.74143,0.74492,0.35855,1.90132,1.11725,1.66716,0.0002444,0.0002444,0.0002444
135,3348.53,1.443,0.81623,1.24694,0.76082,0.73004,0.7439,0.35991,1.8888,1.1201,1.66071,0.0002312,0.0002312,0.0002312
